text,label
Hallo Welt,de
Wie geht es dir heute?,de
Ich liebe Programmierung,de
Das ist ein schöner Tag,de
Heute ist ein guter Tag,de
Wir lernen Python,de
Die Stadt ist sehr groß,de
Ich trinke Kaffee,de
Mein Name ist Anna,de
Die Sonne scheint,de
Hello World,en
How are you today?,en
I love programming,en
This is a beautiful day,en
Today is a good day,en
We are learning Python,en
The city is very big,en
I drink coffee,en
My name is Anna,en
The sun is shining,en
Bonjour le monde,fr
Comment allez-vous aujourd'hui ?,fr
J'aime la programmation,fr
C'est une belle journée,fr
Aujourd'hui est un bon jour,fr
Nous apprenons Python,fr
La ville est très grande,fr
Je bois du café,fr
Mon nom est Anna,fr
Le soleil brille,fr
Hola mundo,es
¿Cómo estás hoy?,es
Me encanta la programación,es
Es un día hermoso,es
Hoy es un buen día,es
Estamos aprendiendo Python,es
La ciudad es muy grande,es
Bebo café,es
Mi nombre es Anna,es
El sol brilla,es
Привет мир,ru
Как дела сегодня?,ru
Я люблю программирование,ru
Это прекрасный день,ru
Сегодня хороший день,ru
Мы изучаем Python,ru
Город очень большой,ru
Я пью кофе,ru
Меня зовут Анна,ru
Солнце светит,ru
